model,scenario,region,variable,unit,subannual,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2030,2040,2050,2060
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Rural Eff,,9,,,,,,,,,,,,,0.00019889999999999998,4.200000000000004e-06,6.300000000000006e-06,8.700000000000008e-06,1.1100000000000009e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,1,,,,,,,,,,,,,0.00031325999999999994,1.8000000000000014e-05,2.4900000000000026e-05,3.240000000000003e-05,4.0200000000000035e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,10,,,,,,,,,,,,,0.00031325999999999994,1.8000000000000014e-05,2.4900000000000026e-05,3.240000000000003e-05,4.050000000000004e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,11,,,,,,,,,,,,,0.00031325999999999994,1.8000000000000014e-05,2.4600000000000022e-05,3.240000000000003e-05,4.0200000000000035e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,12,,,,,,,,,,,,,0.00031325999999999994,1.8000000000000014e-05,2.4600000000000022e-05,3.240000000000003e-05,4.0200000000000035e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,2,,,,,,,,,,,,,0.00029963999999999994,1.7700000000000017e-05,2.4600000000000022e-05,3.210000000000003e-05,3.990000000000004e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,3,,,,,,,,,,,,,0.00031325999999999994,1.8000000000000014e-05,2.4900000000000026e-05,3.240000000000003e-05,4.0200000000000035e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,4,,,,,,,,,,,,,0.00031325999999999994,1.8000000000000014e-05,2.4900000000000026e-05,3.240000000000003e-05,4.0200000000000035e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,5,,,,,,,,,,,,,0.00031325999999999994,1.8000000000000014e-05,2.4900000000000026e-05,3.240000000000003e-05,4.0200000000000035e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,6,,,,,,,,,,,,,0.00031325999999999994,1.8000000000000014e-05,2.4900000000000026e-05,3.240000000000003e-05,4.0200000000000035e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,7,,,,,,,,,,,,,0.00031325999999999994,1.8000000000000014e-05,2.4900000000000026e-05,3.240000000000003e-05,4.0200000000000035e-05
MESSAGEix_ZM,MLED_ambitious_nexus_full,B11|Southern,Water Withdrawal|Municipal Water|Unconnected|Urban Eff,,8,,,,,,,,,,,,,0.00031325999999999994,1.8000000000000014e-05,2.4900000000000026e-05,3.240000000000003e-05,4.0200000000000035e-05
